"10000000","a",,,,
"01000000","s",,,,
"11000000","w",,,,
"00100000","e",,,,
"10100000","x",,,,
"01100000","d",,,,
"11100000",,"we",,"ad, we, da, ew, ead, eas, ade, dea, ase, wee, sea, wed, swe, wea, asse, ease, add, ews, eade, essa,",
"00010000","t",,,,
"10010000","f",,,,
"01010000","c",,,,
"11010000",,"fact",,"ca, ac, sta, act, tw, ast, fac, cat, acc, cas, stat, wat, sat, atc, fact, tac, sca, watc, sf, fas,",
"00110000","r",,,,
"10110000",,"are",,"ar, ra, fe, fr, rea, ear, are, ate, ef, art, eat, tra, rat, fte, reat, era, ffe, arr, afte, fter,",
"01110000",,"set",,"ce, rs, ec, ers, ted, rd, res, est, red, der, cr, ect, ste, dr, str, rc, ces, rst, rec, rse,",
"11110000",,"were",,"wer, were, ard, ace, war, car, eca, ars, eac, read, rac, ears, ated, wr, ward, star, twe, stra, crea, reas,",
"00001000","n",,,,
"10001000","q",,,,
"01001000","j",,,,
"11001000",,"san",,"wn, ans, wan, san, asn, answ, wasn, aj, sq, awn, asan, sna, wns, anw,","ja, nsw, jan, nw, nsa, nwa,"
"00101000","y",,,,
"10101000",,"any",,"ay, any, ean, eq, ane, aye, anne, ena, xan, exan, anx, eane, enan, enea,","yea, nea, nex, ya, nx, yan,"
"01101000",,"eyes","need","end, dy, den, sen, dn, ens, sy, ense,","nd, ned, ys, nde, nes, nds, ness, je, yes, nse, need, nded,"
"11101000",,"and",,"and, way, day, ays, say, wen, ways, ady, ands, away, eady, ween, dan, days, ande, says, sand,","new, nda, nswe,"
"00011000","b",,,,
"10011000",,"fan",,"ab, ba, ant, tan, tant, tab, ban, bab, bat, fan, batt, anta, fant, abb,","nat, nf, nta, nab, nfa, nant,"
"01011000",,,,"bs, bj, sb, bst, bts, bc, bsc, bbs, cn, cb, cbs, stn,","nc, nts, nst, nsc, nct, ncts,"
"11011000",,"can",,"can, anc, stan, bac, want, tanc, bas, ants, cann, abs, sba, sban, stab, sant, cq, acq, cans,","nsta, jac, nanc,"
"00111000",,"be",,"be, ent, ry, ty, rn, by, br, ery, ten, ren, bee, been, ber, rne, ern, bet,","nte, ner, nter, ntr,"
"10111000",,"ran","next","ran, ary, bef, arn, bea, ante, earn, bra, brea, aren, tran, ften, anyt, bar, rtan, req,","year, nera, next, near,"
"01111000",,"best",,"enc, ence, bec, ents, cen, cent, rned, dent, sent, bes, renc, bed, cy, tend,","nce, nder, nted, jec, ject, nces,"
"11111000",,"went","years",,
"00000100","i",,,,
"10000100","z",,,,
"01000100","k",,,,
"11000100",,"ask",,"wi, ak, sai, ask, asi, aki, wis, assi, wai, ais, sia, swi, ssia, wak, asks, aski, siz, asis,","ka, isa,"
"00100100",",",,,,
"10100100",,,,"ze, xi, exi, aze, ez, eez, eiz, eze, eeze, eize, xie, axi, zei, ezi, eezi, eizi,","ize, ix, ixe, ixi,"
"01100100",,"did",,"di, did, sid, side, dis, esi, edi, die, ek, eek, ske, essi,","id, ke, ide, ike, ked, ies, ied, ise,"
"11100100",,"said",,"ake, aid, said, eak, aske, adi, dia, akes, week, six, zed, eadi, easi, edia, xis, aise,","idea, iew, ized, ida,"
"00010100","v",,,,
"10010100",,,"if","fi, av, ati, va, tai, ffi, avi, ait, fai, tia, tati, ativ, vat, tif,","if, iff, ita, ift, iat, ifi,"
"01010100",,,"its","ck, ci, sti, cti, tic, sit, cit, vis, vic, sist, sic, ctiv, visi, tis,","ic, ist, its, ick, ici, ict,"
"11010100",,"wait",,"wit, ack, tak, fic, cia, acti, ffic, wait, tica, sati, cati, wif, taki, fici, aci,","ica, ista, icat, ific, icia,"
"00110100",,"ever",,"ve, ri, ver, ev, eve, ever, eir, rie, eri, rit, rv, tri, rri, tive, erv, rti,","ir, ive, ite, ire,"
"10110100",,"five",,"ave, fir, rai, air, ari, fri, arri, frie, rati, arti, ria, eav, trai, rtai, fie, eave,","ife, iffe, ief, iate,"
"01110100",,"tried",,"rk, ved, ves, ric, ris, eci, ecti, serv, esti, ried, cri, rke, cke, vid, ties, vers,","ice, irs, irst, iste,"
"11110100",,"first",,,
"00001100","h",,,,
"10001100",,"ah","han","ain, ani, ah, aini, zin, anin, aniz, azin,","ha, han, ina, ian, hai, niz, nia, iq, inan, niza, nha, niq,"
"01001100",,,"his","sh, sin, shi, ssin,","his, kin, kn, nk, ins, ish, ink, nsi, hink, nis, nki, nkin, hs, nish, inki, insi,"
"11001100",,,"has","wh, whi, wha, win, sha, ains, akin, ank, ash, wish, ashi, anks, wash, sian, anis, asin, whis,","has, hank, ians,"
"00101100",,,"he","ein, eh, eni, enin, ehi, ehin,","he, hen, hey, ine, hei, ien, hy, yi, yin, hee, hie, nie, nei, inne,"
"10101100",,,"yeah","aine, ayi, ayin, eha, eani, zen, anie, ahe, anxi, ahea, eah, zy, zine, azy, xh, exh,","hea, nize, nxi, yeah,"
"01101100",,"she",,"she, din, didn, shed,","ind, hes, hed, ndi, hese, ines, ined, iend, iden, idn, kne, ndin, ken, nsid, ishe, indi,"
"11101100",,"when","had",,
"00011100",,"bit","hit","th, thi, thin, tin, bi, vin, ttin, bit,","ith, ht, int, nti, ib, nv, nit, hit, inv, ntin, nth, ivin,"
"10011100",,"that",,"tha, that, ath, fin, than, tain, avin, fath, aint, van, fina, atin, abi, fini,","hat, hav, inf, nati, havi, ntai,"
"01011100",,"this",,"ch, this, chi, tch, sib, chin, sch, ssib, stin, sinc, cin,","ich, hic, hich, inc, inst, nch, nci, nic, hts,"
"11011100",,"with",,,
"00111100",,"the",,"the, ther, they, ven, thei, very, rin, thr, even, then, eth, enti, rien,","her, here, heir, hr, ity, inte, nev,"
"10111100",,,"have",,
"01111100",,"these",,,
"11111100",,"where","heard",,
"00000010","o",,,,
"10000010","(",,,,
"01000010",".",,,,
"11000010",,,,"wo, aso, woo, asso, swo, wso, awso, soa, aos, wow, awo, sow,","ow, ows, owa, oas, osa, ossa, owo,"
"00100010","-",,,,
"10100010",,,,"xo, exo, e-a, axo,","ox, oxe, -a,"
"01100010",,"do",,"do, doe, does, doo, eso, esso, edo,","od, ose, ood, oes, ode, osed, odd, osse, ods, oose, oods, odde, oses,"
"11100010",,"wood",,"dow, easo, ado, wood, dows, adow, sado, ewo,","owe, owed, oad, owd, oda, owde, owds, -da, o-da, oads, oade, oxes,"
"00010010","g",,,,
"10010010",,,"of","fo, ag, ga, aga, foo, gat, tag, ago, ato, ffo, goa, foot, gag, agg, tota,","of, off, oft, oat, ota,"
"01010010",,"cost",,"co, sto, gs, cto, soc, sco, cco, stoo, cog, coo, cos, cost, cot, ssoc,","oc, ost, occ, oct, ots, octo,"
"11010010",,"two",,"two, tow, acco, towa, coa, sag, foc, sof, ssag, soft, acto, stag, cof, coff, coat,","oac, oca, occa, oast, ocat,"
"00110010",,"get","or","ro, ge, gr, eg, get, gre, rg, tor, ger, tro, roo, rge, gro, rot,","or, ore, ort, ote, oor, orr,"
"10110010",,"for",,"for, fro, age, fore, efo, efor, gra, grea, arg, aro, ega, fort, arge, roa, gar, rag,","orta, ora, offe, ofte,"
"01110010",,"good","order","eco, good, cor, stor, ges, rso, erso, cro, ged, ros, dg, rod, dge, door, sor, ross,","ord, ors, orde, orc,"
"11110010",,"words","offered",,
"00001010","u",,,,
"10001010",,,,"au, qu, ano, qua, anno, aun, anu, anua, quan, quo,","ua, ona, una, nua, oan, nqu, onna, uan, onq, onqu,"
"01001010",,"soon","us","su, son, sou, ssu, soon, soun, sun, sus, sons,","us, ons, ous, ju, jo, jus, uss, usu, nsu, njo, oj,"
"11001010",,,"now","wou, aus, won, ason, sua, sona, asu, assu, ajo, squ, squa, woun,","now, own, nown, usa, usua, usan, ousa, nows,"
"00101010",,,"you","eno, enou, eu, eon, eone,","yo, you, one, ue, oy, yon, youn, yone, oney, uy, uen, oye, nue, une, onne,"
"10101010",,"anyone",,"que, equ, eau, eque, quen, anyo, quee, equa, xu, exu, xua, exua, aneo, xon,","oya, unex, ux, nque, uxu, unea,"
"01101010",,"done","use","du, don, done, esu,","und, use, ound, ud, ond, unde, ues, ouse, used, ody, ude, ndo, odu, onde, udd, ones,"
"11101010",,"down",,,
"00011010",,"but","not","bu, bo, tu, but, bou, bout, gu, gn,","ng, ut, out, not, ug, oug, ong, ob, nto, ont, unt, ub,"
"10011010",,"about",,"abo, fu, abou, ang, fou, gan, aug, tua, atu, anot, foun, aut,","uf, onf, uff, natu, nfo, nag, oba, uat,"
"01011010",,,"just","con, cou, cu, suc, cons, cont, stu, coun, bus, cus, ctu, conc,","uc, ust, just, ngs, onc, unc, uct, job,"
"11011010",,"town",,,
"00111010",,,"your","rou, ru, tur, roug, gen, ture, roun, tru, turn, ron, bro, eng,","ur, our, ure, your, nge, urn, ute, nger,"
"10111010",,"before","often",,
"01111010",,"course","once",,
"11111010",,"because",,,
"00000110","l",,,,
"10000110",,"all",,"al, all, ali, ail, alo, allo, ala, aliz, alli,","la, ial, lai, lia, lla, liz, iall, ila, olla, oal, ola,"
"01000110",,,"look","sio, sl, ssio, sol, sil,","ok, ls, ook, lik, look, lk, los, lis, lso, osi, ossi, lls, oki, kil, isio,"
"11000110",,"will",,"wil, will, als, alk, also, wal, alw, alwa, walk, wl, wall,","low, las, llow, lw, lwa, owi, lass, owl, law,"
"00100110",,,"lie","el, ell, eli, eel, ele, elie, elo, elli, eeli, ello, elle,","le, lle, ile, lie, ole, olle, ille, lee, iel,"
"10100110",,,,"eal, alle, ale, ela, eall, eali, aile, alex, eale, eliz, xio, elea, ael,","lea, lex, lize, lexa, oze, llea, lexi,"
"01100110",,,"like","sel, dl, els, eld, del, dle,","ld, like, old, led, les, oke, lled, ild, less, oked, ooke, lose, ldi, lde,"
"11100110",,"well",,,
"00010110",,"till","lot","tio, gi, tl, gl, til, vo, ttl, till, giv,","ig, ov, lt, lit, lig, liv, litt, ittl, lv, itio, oti,"
"10010110",,"fall",,"atio, tal, fl, gai, agai, alt, val, fol, gla, fig, flo, foll, agi, fil, alit,","lf, lat, lif, offi, lati,"
"01010110",,"still","lost","cl, ctio, col, stil, sig, clo, took, clos, stio, cov, coll, soci, ctl,","lic, ock, osit, loc, oic, oci, list,"
"11010110",,"call","last",,
"00110110",,"tell","over","rl, tle, tel, ttle, rel, rig, vel, tell, give, rio, elt, rov,","ove, over, let, ori, lve, live, orl, love,"
"10110110",,"felt","life",,
"01110110",,"told","lives",,
"11110110",,"work","least",,
"00001110",,,"oh",,"ho, ul, ion, oul, hou, ui, lin, lu, nl, hu, lon, oin, hil, onl, hol, iou, uni, houl, ull, hoo,"
"10001110",,,"hall","qui, alon, alu, qual, ainl, aul,","lan, nal, ual, onal, hal, iona, uall, ula, hall, inal, lain, lau, nall, lian,"
"01001110",,"soul","john","sho, sion, shou, sul,","kno, ions, hos, ious, usi, hous, usin, onsi, lish, hus, okin, ush, lus, lkin, usl, ousl,"
"11001110",,"who","how",,
"00101110",,,"only","ely, elin, enl,","ly, lly, nly, only, hel, ily, len, hile, line, lue, hole, lone, loy, hone, ully, llen, ule,"
"10101110",,"alone","lay",,
"01101110",,"should","house",,
"11101110",,"would",,,
"00011110",,"thought","into","gh, tion, ght, bl, tho, ting, thou,","ing, igh, oth, ugh, ight, hing, ough, ning, into, ught, houg, long, ling,"
"10011110",,"again","having",,
"01011110",,"such","looking",,
"11011110",,"without",,,
"00111110",,"through","other",,
"10111110",,"another",,,
"01111110",,"could",,,
"11111110",,"already","however",,
"00000001","p",,,,
"10000001","?",,,,
"01000001",")",,,,
